Scheme Name	Net Asset Value
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.0577
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1528
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1471
Franklin India Banking & PSU Debt Fund - Direct - Growth	24.1810
Franklin India Banking & PSU Debt Fund - Growth	23.1158
Franklin India Banking and PSU Debt Fund - Direct - IDCW	11.6304
Franklin India Banking and PSU Debt Fund - IDCW	10.9983
HDFC Banking and PSU Debt Fund - Growth Option	23.6317
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.6449
HDFC Banking and PSU Debt Fund - IDCW Option	10.1749
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0405
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1907
HSBC Banking and PSU Debt Fund - Direct Growth	26.2972
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.326
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.353
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.116
HSBC Banking and PSU Debt Fund - Regular Growth	24.9341
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.5644
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3258
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	35.1277
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.1376
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	33.6525
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.1165
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2490.9161
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1064.493
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1015.9554
Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment)	1051.369
Invesco India Banking and PSU Fund - Regular Plan - Growth Option	2323.0256
Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment)	1066.9186
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.7297
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.7314
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.3497
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.3509
Kotak Banking and PSU Debt - Growth	67.3221
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.6482
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	70.2438
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2697
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.3176
LIC MF Banking & PSU Fund-Direct Plan-Growth	38.6252
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.5467
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0547
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.4673
LIC MF Banking & PSU Fund-Regular Plan-Growth	35.7417
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.3768
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3874
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.5962
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.5907
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.2747
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.2758
NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option	22.1466
NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option	10.3852
Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option	22.1466
NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option	10.7698
NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option	11.0100
NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option	10.3843
NIPPON INDIA BANKING and PSU FUND - IDCW Option	21.3070
NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option	10.7008
NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option	10.9424
Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option	22.1465
Nippon India Banking and PSU Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking and PSU Fund- Growth Plan- Growth Option	21.3070
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1500.8195
SBI BANKING & PSU FUND - Direct Plan - Growth	3407.2937
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1319.7706
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1497.4858
SBI BANKING & PSU FUND - Regular Paln - Growth	3201.1678
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1460.4608
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1234.4684
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1460.1127
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
